Iters,Error
1,0.2681345111851693
5000,0.16458432997557623
10000,0.13404465760609965
15000,0.1266884765676622
20000,0.11682034127890642
25000,0.09932456456753416
30000,0.08896184340709751
35000,0.07896058585118626
40000,0.0733945033138412
45000,0.06797224737812439
50000,0.06427014167815308
55000,0.060363388974508575
60000,0.05848231772317999
65000,0.05696082551866618
70000,0.05519462443555528
75000,0.05304367182110116
80000,0.05099021686441281
85000,0.04929547519289538
90000,0.048415187461761516
95000,0.04658381215861004
100000,0.044843463016219054
