Iters,Error
1,0.1789870020730876
500,0.162730243081361
1000,0.14451118992720424
1500,0.13649622059208902
2000,0.12466741846569336
2500,0.12084874815262019
3000,0.11627808828833595
3500,0.10800589629851173
4000,0.09373518688971572
4500,0.07266678928224589
5000,0.05496232730474948
5500,0.04617637766590286
6000,0.028758240993265495
6500,0.021899418947085254
7000,0.01809936955993399
7500,0.012332506473921223
8000,0.010923880284173465
8500,0.00891731327433917
9000,0.008604858983511878
9500,0.007986999128521464
10000,0.007297547218556655
10500,0.0069347413165882785
11000,0.006249599698746813
11500,0.005675521115183799
12000,0.004966511215937006
12500,0.0046652596015137335
13000,0.0045404254141808665
13500,0.004310359157865982
14000,0.004052084762806881
14500,0.0038122164663538243
15000,0.003579164811023886
15500,0.0034146244220438545
16000,0.0031487054156845735
16500,0.003028557000327452
17000,0.0028437993943917533
17500,0.0026661896624937554
18000,0.002468734941250861
18500,0.0023487314958502313
19000,0.0022074702734881245
19500,0.002076818493676237
20000,0.0019430100735264926
20500,0.0018166100602474925
21000,0.0017429364864808127
21500,0.0016394966507309707
22000,0.0015686199984097007
22500,0.0014877663954300606
23000,0.0014197316201704688
23500,0.0013817478041538492
24000,0.0013269452694115208
24500,0.0012761373577989846
25000,0.0012297801984780612
25500,0.0011867912660774543
26000,0.0011719299447873733
26500,0.0011396116778859342
27000,0.0011087521947100991
27500,0.001073491059042148
28000,0.001037670733873033
28500,0.0010143543081290113
29000,0.0009819521267854666
29500,0.0009462564850049439
30000,0.0009142070477366732
30500,0.0008827923193857648
31000,0.0008640223848091626
31500,0.0008354341830405708
32000,0.0008155503303742586
32500,0.0007884860201770469
33000,0.0007646613017938331
33500,0.0007379329337905994
34000,0.0007204428571210477
34500,0.000694529497734038
35000,0.0006701832861757865
35500,0.0006488325454136107
