x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.00538869904594165,0.0019708776216218055,-0.0012537666145889213,-0.004293219399683489,-0.007154968392244852,-0.009846299676496372,-0.012374517061364537,-0.01474661743485272,-0.016969295895073396,-0.019048952668823012,-0.02099170053404268,-0.022803372663283722,-0.02448953081172043,-0.02605547377951944,-0.02750624608440102,-0.02884664678601519,-0.030081238409286316,-0.031214355919116556,-0.03225011570380097,-0.03319242452916049,-0.034045035336861096,-0.03481172398965155,-0.035496052479067064,-0.03610139914855033,-0.0366309760095733,-0.037087836945889296,-0.03747488572833217,-0.037794883829037874,-0.0380504580261333,-0.038244107791890275,-0.03837821245907822,-0.03845503816178545,-0.03847674454834207,-0.038445391265154005,-0.03836294421129405,-0.03823128156457603,-0.0380521995805921,-0.037827418166831925,-0.03755858623452443,-0.03724733221397672,-0.036895286411793925,-0.036504007892440724,-0.03607500397400406,-0.035609734521611605,-0.035109616039863054,-0.034576025569452565,-0.0340103043921939,-0.03341376154866497,-0.032787677172636885,-0.032133305646422076,-0.03145187858119883,-0.030744607626301858,-0.030012687111393814,-0.02925729652533951,-0.028479602835539884,-0.02768076265139065,-0.02686192423546233,-0.02602422936593184,-0.025168815053732717,-0.024296815117839463,-0.02340936162206098,-0.022507586175205326,-0.021592632764731216,-0.020665676158126978,-0.019727898020624555,-0.01878048348516071,-0.01782462182788036,-0.016861507028373662,-0.015892338218019227,-0.01491832001984318,-0.01394066278334922,-0.012960582717818737,-0.011979301927638873,-0.010998048353265753,-0.010018055621493953,-0.009040562808757644,-0.008066814121253431,-0.007098058495727469,-0.0061355491248323915,-0.00518054291101205,-0.004234299852919699,-0.0032980823684293347,-0.002373154558335087,-0.001460781414872922,-0.0005622279792282109,0.00032124154778397605,0.0011883647376639012,0.0020378819045912874,0.0028685371099961485,0.0036790791971408523,0.004468262851533638,0.005234849683018629,0.005977609325432485,0.006695320549753952,0.007386772386738863,0.008050765255089194,0.008686112091290233,0.009291639450291916,0.009866144193763212,0.010408434887874999
-0.025331698794035004,-0.027086821857019758,-0.02879392748584171,-0.03044404670354059,-0.03202231250120248,-0.03351940283535833,-0.03493751876600325,-0.03627858980224055,-0.03754423754355632,-0.038735780863661085,-0.039854241816016434,-0.040900352163259754,-0.04187456043949264,-0.042777039461032715,-0.04360769420770498,-0.04436617000301411,-0.04505186092759558,-0.045663918406127546,-0.046201259913424,-0.0466625777506627,-0.04704830757415599,-0.04736565562416384,-0.04761804090956324,-0.04780822986627053,-0.047938807303583804,-0.04801218482810994,-0.048030609116730766,-0.047996170021021696,-0.047910808488199154,-0.04777632428612854,-0.04759438352211341,-0.04736652594718662,-0.04709417203939042,-0.04677862986113077,-0.046421101687093125,-0.046022690400452884,-0.045584405656206806,-0.04510716981140458,-0.04459182362288125,-0.04403994991539364,-0.043453723308766956,-0.042834743108716884,-0.04218454750009834,-0.04150461813424811,-0.040796384477623855,-0.04006122794703464,-0.03930048583540856,-0.038515455032216324,-0.03770739554276588,-0.0368775338106789,-0.03602706584791425,-0.03515716017674715,-0.03426896058813506,-0.03336358872091274,-0.032442146466266995,-0.03150571820193038,-0.030555372860532053,-0.02959216583652987,-0.028617140736139197,-0.027631330974660598,-0.02663576122560154,-0.025631455566264214,-0.024619648305426067,-0.023601660073151086,-0.022578771759321124,-0.02155226068794918,-0.020523401269096388,-0.019493465533270304,-0.018463723552713016,-0.017435443753985293,-0.016409893126276755,-0.015388337329869849,-0.014372040709208236,-0.013362266215018605,-0.012360275239948995,-0.011367327372188714,-0.010384680071540545,-0.009413588272410667,-0.00845530391818251,-0.0075110754314278785,-0.006582147124397135,-0.005669758554216503,-0.0047751438271856385,-0.0038995308565555574,-0.003044140578122745,-0.002210186127933101,-0.0013988719863545183,-0.0006113930927138661,0.00015106606535790837,0.0008873323837961938,0.001596245091180587,0.0022766567110881833,0.0029274340338755894,0.0035474590941284787,0.0041356301501135305,0.0046908626616652405,0.005212090263046209,0.005698265600951505,0.006148153708713605,0.006560522444683019
-0.05200106936055872,-0.05265517927280526,-0.05332362785306509,-0.053994121094150624,-0.05464679654757411,-0.05526743981742159,-0.05585591893877857,-0.056411844073737547,-0.056934518450519764,-0.057422941229904365,-0.05787581133827405,-0.05829153215446786,-0.058668216944537305,-0.05900369494538368,-0.05929551800503688,-0.0595409676939922,-0.059737062808507144,-0.059880567193025605,-0.05996799781495371,-0.059995633030789655,-0.059961935314240974,-0.05987417635698211,-0.0597354954561673,-0.05954827693486735,-0.05931470894176262,-0.059036791873497266,-0.05871634669980405,-0.058355023166465875,-0.0579543078543934,-0.05751553207607071,-0.057039879593328596,-0.05652839414287768,-0.05598198675828868,-0.05540144287912768,-0.054787429239806396,-0.0541405005323401,-0.05346110583868875,-0.05274959482967337,-0.05200622372862218,-0.05123247218022001,-0.0504308647015079,-0.04960306563279343,-0.04875066733163165,-0.04787519499850776,-0.04697811124001239,-0.046060820406629774,-0.04512467270870349,-0.04417096811447105,-0.043200960034337696,-0.042215858795795425,-0.04121683491359147,-0.04020502215991165,-0.03918152043948009,-0.03814739847458796,-0.037103696305147885,-0.03605142760894898,-0.034991581847334786,-0.033925126241574094,-0.03285300758522205,-0.031776153897791724,-0.030695475925068237,-0.02961188014972129,-0.028526634086207647,-0.027441164394241914,-0.026356827128154757,-0.02527496645642248,-0.024196915353701907,-0.023123996176668063,-0.022057521128879473,-0.020998792619859943,-0.01994910352355085,-0.018909737341244078,-0.017881968274059176,-0.0168670612099776,-0.01586627163039348,-0.014880845441079031,-0.01391201873240086,-0.01296101747355937,-0.01202905714554682,-0.011117342317449166,-0.01022706617063944,-0.00935940997532328,-0.00851554252381885,-0.007696619524860719,-0.006903782963126964,-0.006138160428095445,-0.005400864416239902,-0.004692991610471972,-0.004015622140645249,-0.0033698188288176223,-0.002756626422883407,-0.0021770708220590212,-0.0016321582976146498,-0.0011228747121253338,-0.0006501847404018352,-0.0002150310951579762,0.00018166623965309298,0.0005390105359734249,0.000855753170271964,0.001130637505915362
-0.07452312755539611,-0.0742230114445622,-0.07400692423553784,-0.07385483437270454,-0.0737369997999731,-0.07363198195689881,-0.07353725574759169,-0.07345006690502547,-0.07336736343554902,-0.07328579554686358,-0.07320171681244515,-0.07311118644493177,-0.07300997255785548,-0.07289355630202947,-0.07275713676986938,-0.07259563656781425,-0.07240370796381611,-0.07217573952353658,-0.07190586315535234,-0.0715879614905477,-0.07121883477961731,-0.07080688430288352,-0.07035517727696879,-0.06986584392214999,-0.06934080494098925,-0.06878177968265654,-0.06819029428081576,-0.067567689731993,-0.06691512988513319,-0.066233609316572,-0.06552396106789389,-0.06478686422714054,-0.06402285133658621,-0.06323231561281017,-0.06241551796710061,-0.061572593816300966,-0.060703559676119706,-0.059808319530632176,-0.05888667097324202,-0.057940034681772445,-0.05697126516495006,-0.055982121903563456,-0.05497428017310413,-0.05394933605918151,-0.05290881119629651,-0.05185415727656771,-0.050786760331347686,-0.04970794478921153,-0.04861897731423866,-0.04752107042891811,-0.04641538592634331,-0.0453030380766532,-0.044185096632930534,-0.04306258964196627,-0.04193650606548116,-0.04080779821753079,-0.03967738402393499,-0.03854614910965355,-0.037414948720105215,-0.036284609482451935,-0.035155931012909925,-0.03402970275358293,-0.032907196970357294,-0.03178991917729582,-0.030679280632010572,-0.029576671519575534,-0.028483461762440446,-0.027401001718123555,-0.026330622770421225,-0.025273637819766867,-0.024231341678295923,-0.023205011375049087,-0.022195906376656596,-0.021205268728719973,-0.020234323122989922,-0.019284276895318447,-0.018356319959239698,-0.017451624679890906,-0.016571345692871095,-0.015716619672489635,-0.014888565053725628,-0.014088281712089742,-0.013316850605440259,-0.012575333381676039,-0.01186477195609658,-0.011186188062089819,-0.010540582778680585,-0.009928936038348275,-0.009352206118394414,-0.008811329119035448,-0.008307218431256536,-0.007840764197372854,-0.007412832767113749,-0.007024266151950349,-0.00667588148027639,-0.0063684704559510835,-0.006102798822608724,-0.0058796061632285165,-0.005700142387863885,-0.0055656771322828424
-0.0929038506378671,-0.0918087054501745,-0.09085666948980686,-0.09002231770603825,-0.089268515881428,-0.08856775466915948,-0.08791526661444907,-0.08730609124116245,-0.08673498885159464,-0.08619643687064502,-0.08568462771804547,-0.0851934680673274,-0.0847165793568244,-0.08424729942478111,-0.0837786851475854,-0.08330351596711173,-0.08281429820014206,-0.08230327002975092,-0.08176240708533049,-0.08118342852459974,-0.080561598071422,-0.07990622452663361,-0.07922033020484485,-0.07850584809121748,-0.07776449004572365,-0.076997754422976,-0.07620693375505148,-0.0753931224553893,-0.07455722450620376,-0.07369996109592768,-0.07282187817699838,-0.07192335391783218,-0.07100460602610713,-0.07006569892349289,-0.06910655075475784,-0.06812694021673014,-0.06712651319494504,-0.06610478919794126,-0.06506116758112017,-0.0639970445083685,-0.0629156101127568,-0.06181873534938778,-0.06070819365413235,-0.05958566610427929,-0.05845274629799649,-0.05731094500773261,-0.056161694609562676,-0.05500635329122747,-0.053846209042243756,-0.052682483430039145,-0.051516335166546204,-0.05034886347011816,-0.04918111122798016,-0.04801406796474683,-0.04684867262277606,-0.045685816160342466,-0.04452634397377704,-0.043371058149834676,-0.04222071955465301,-0.041076049765703185,-0.039937732853175825,-0.038806435637709635,-0.03768341560189574,-0.03657023495723122,-0.03546834063630494,-0.034379148936568404,-0.033304046531710985,-0.03224439137621668,-0.031201513508943485,-0.030176715761423015,-0.029171274376432202,-0.028186439542215905,-0.027223435847588615,-0.026283462662954074,-0.025367694452117465,-0.024477281019589195,-0.02361334769788813,-0.022776995479188808,-0.02196930109546978,-0.021191317051156205,-0.02044407161206646,-0.01972856875432727,-0.01904578807673518,-0.018396684679915704,-0.017782189015461344,-0.017203206708104157,-0.01666061835383492,-0.016155279296765176,-0.0156880193873985,-0.015259642724881048,-0.014870927385686544,-0.01452262514110074,-0.014215461165781804,-0.013950133739592793,-0.013727313944821046,-0.013547645360832056,-0.013411743758145106,-0.013320197214739496,-0.013274256676855237,-0.013275205311735053
-0.10724392599902072,-0.10553042059873458,-0.10400476872370412,-0.10263843315296717,-0.10138994075001811,-0.10022779300449203,-0.09914534949658271,-0.09813581809235167,-0.09719215620854738,-0.09630706291962399,-0.0954729729021091,-0.0946820520626186,-0.09392619470184818,-0.09319702207330063,-0.09248588220218709,-0.09178385083680293,-0.09108173341166786,-0.09037006790870739,-0.08963912850976447,-0.08887892994063165,-0.08808338908845216,-0.08726205163428334,-0.08641785334796197,-0.08555256031036577,-0.0846677082120104,-0.08376460911802759,-0.08284435840540964,-0.08190784182120027,-0.08095574261518833,-0.0799885487053149,-0.0790065598383335,-0.07800989471234411,-0.07699849803162061,-0.07597214746768634,-0.07493046050387948,-0.07387290114368673,-0.07279878646592806,-0.07170729301245347,-0.07059746299638077,-0.06947067388004856,-0.06833043224187103,-0.06717872426271974,-0.06601742460286063,-0.06484830166540183,-0.063673022584968,-0.06249315800388126,-0.06131018663648681,-0.06012549962321352,-0.058940404676778455,-0.0577561300236963,-0.05657382814487459,-0.05539457931964166,-0.05421939497801544,-0.05304922086642429,-0.05188494003242296,-0.05072737563420386,-0.04957729358092784,-0.04843540501004159,-0.04730236860786631,-0.046178792779802455,-0.0450652376765215,-0.043962238669117235,-0.04287102135547531,-0.04179318528311243,-0.0407301953991719,-0.03968347658713993,-0.03865441495990744,-0.0376443590514451,-0.036654620912615204,-0.035686477116474255,-0.03474116967819174,-0.03381990689453282,-0.0329238641076318,-0.03205418439756401,-0.031211979208028706,-0.030398328909223435,-0.02961428330180435,-0.028860862065602524,-0.028139055156585893,-0.02744982315536064,-0.026794097570329148,-0.026172781098447784,-0.025586747846373492,-0.025036843514639348,-0.024523885547364746,-0.024048663249877603,-0.023611937876523548,-0.023214442690832823,-0.02285688300012738,-0.022539936166581953,-0.022264251596686976,-0.022030450710997393,-0.021839126896025823,-0.02169084544009238,-0.02158614345490932,-0.021525529784676964,-0.021509484904435536,-0.021538461320476113,-0.021613722362683524,-0.021736576789326403
-0.11772607122749174,-0.11558421745772274,-0.1136583828255342,-0.11191938945579316,-0.11032475218376186,-0.10884131310319678,-0.1074610385456366,-0.1061757898983175,-0.1049772179847393,-0.10385675029105251,-0.10280558035183401,-0.1018146591311122,-0.10087468823973167,-0.09997611483591318,-0.09910912806204747,-0.09826365687730204,-0.09742936915235823,-0.09659567189954182,-0.09575171251859643,-0.09488638094538943,-0.09399251107071363,-0.0930791150701451,-0.09214898033007432,-0.09120372769875748,-0.09024474138629657,-0.08927317454701739,-0.088289955163949,-0.0872957921742023,-0.08629118177945383,-0.08527641389090243,-0.08425157866293524,-0.08321657307433235,-0.08217110752016173,-0.08111471238155817,-0.0800467445443611,-0.07896639384109778,-0.07787268939407409,-0.07676450584034807,-0.07564056942215468,-0.07450222191190219,-0.0733532371445081,-0.0721957110597146,-0.07103161390563396,-0.06986279556233353,-0.06869099060929472,-0.06751782320397422,-0.0663448117701974,-0.06517337349628234,-0.06400482864379563,-0.06284040466876727,-0.06168124015796654,-0.060528388583530005,-0.05938282187980719,-0.05824543384679891,-0.057117043384947344,-0.05599839756638787,-0.05489017454802052,-0.05379298633194647,-0.05270738137896418,-0.05163384708087333,-0.05057281209738866,-0.049524672803710465,-0.0484906071693713,-0.047472235818239575,-0.046471028077178636,-0.04548840439401329,-0.04452573798023078,-0.043584356356458145,-0.04266554280551253,-0.04177053773761051,-0.040900539972093544,-0.040056707939808686,-0.03924016081005351,-0.03845197954575727,-0.03769320789037131,-0.03696485328969669,-0.03626788775169129,-0.03560324864709016,-0.03497183945348782,-0.03437453044536053,-0.0338121593323495,-0.033285531847975905,-0.032795422290843465,-0.03234257402026007,-0.031927699908127175,-0.03155148274886435,-0.03121457562906718,-0.0309176022585691,-0.03066115726452029,-0.030445806450108803,-0.03027208701952154,-0.03014050777075769,-0.03005154925793685,-0.03000566392474635,-0.030003276210727403,-0.030044782632134365,-0.030130551839136308,-0.030260925249530696,-0.03043719928392151,-0.03066072951739153
-0.12459858931119688,-0.12222700809481146,-0.12008145206342424,-0.11813471281427645,-0.11634682378555827,-0.11468547507381621,-0.11314178568579697,-0.11170682215965888,-0.1103714921656116,-0.10912652623694147,-0.10796246198930348,-0.10686963065630517,-0.10583814577347117,-0.10485789384750632,-0.10391852685318181,-0.10300945640609849,-0.10211984946589708,-0.10123862543108908,-0.10035445449351005,-0.09945575712736593,-0.09853460137568576,-0.09759865578915561,-0.09665048778217011,-0.09569159058594823,-0.09472321829177927,-0.09374638991217915,-0.09276189389461037,-0.0917702930163603,-0.09077192959506447,-0.08976693095498028,-0.08875521509447104,-0.0877364965052421,-0.08671029209868608,-0.08567592719920589,-0.08463254156865208,-0.08357909542998773,-0.08251437546200441,-0.08143700074037435,-0.08034542860352553,-0.07924093424749454,-0.07812748657999785,-0.07700727961450216,-0.07588236793281716,-0.07475467202269152,-0.07362598339082581,-0.07249796952062203,-0.0713721786708436,-0.07025004451275733,-0.06913289060452561,-0.06802193470270872,-0.06691829291167205,-0.06582298367250723,-0.06473693159378589,-0.06366097112704171,-0.06259585009038098,-0.06154223304401567,-0.06050070452182753,-0.059471772123307245,-0.05845586947039243,-0.05745335903381045,-0.05646453483359955,-0.05548965147003253,-0.05452982593046256,-0.053586687911487615,-0.0526617032975306,-0.05175628129823644,-0.05087177648899931,-0.05000949075611076,-0.049170675150224566,-0.04835653165162661,-0.04756821485057648,-0.04680683354577582,-0.046073452263803424,-0.04536909270214416,-0.0446947350982506,-0.04405131952687298,-0.0434397471277302,-0.04286088126543343,-0.04231554862342078,-0.041804540233552526,-0.04132861244289861,-0.04088848781917466,-0.04048485599620523,-0.0401183744607569,-0.03978966928205764,-0.039499335785300585,-0.039247939170454174,-0.039036015077722266,-0.03886407010103553,-0.03873258225103121,-0.03864200136901867,-0.0385927494935393,-0.03858522118120089,-0.03861978378356366,-0.03869677768196235,-0.03881651648225019,-0.03897928717155369,-0.03918535092224948,-0.03943606445109342,-0.03973285756859256
-0.12815688615189574,-0.125757983740655,-0.12357602794585049,-0.12158838437352865,-0.11976118871667418,-0.11806558829993974,-0.11649244592158892,-0.11503263027586325,-0.11367691521732515,-0.11241595542948973,-0.11124026491077266,-0.11014019810106995,-0.10910593347488906,-0.10812745943047103,-0.1071945623087211,-0.10629681638076915,-0.10542357564860727,-0.10456396730930034,-0.10370688673966488,-0.10284099386502465,-0.10195794729556817,-0.1010632379877135,-0.10015913458461945,-0.09924701697441979,-0.09832802790846323,-0.09740307519794555,-0.09647283453355338,-0.09553775284637805,-0.09459805213460337,-0.09365373368650948,-0.09270458263609876,-0.0917501727931675,-0.09078987169490432,-0.08982284583104544,-0.08884806599933676,-0.08786431275243473,-0.08687018190155324,-0.08586409004599607,-0.08484428010134393,-0.0838119219974097,-0.08277109126466212,-0.08172406448359906,-0.08067296614021482,-0.07961977392388356,-0.07856632384524409,-0.07751431524208047,-0.07646531566612988,-0.07542076564535691,-0.07438198331762663,-0.0733501689329803,-0.07232640922281236,-0.07131168163520063,-0.07030685843647883,-0.06931271067982564,-0.06832991204225305,-0.06735904253184069,-0.06640059206746421,-0.0654549639335632,-0.06452247811270735,-0.06360337449889149,-0.06269781599454853,-0.06180591956257757,-0.06092873162165861,-0.060067884227147414,-0.05922483887165515,-0.058400993902271034,-0.057597686981964505,-0.05681619745446802,-0.05605774861495928,-0.055323509888651465,-0.05461459891925764,-0.05393208356911254,-0.053276983832561645,-0.05265027366409138,-0.05205288272252438,-0.05148569803247387,-0.05094956556415446,-0.0504452917325562,-0.0499736448169089,-0.049535356301343855,-0.04913112213761177,-0.04876160393072625,-0.04842743004842749,-0.04812919665539596,-0.04786746867320461,-0.04764278066709739,-0.04745563766075968,-0.04730651588037847,-0.04719586342941358,-0.04712410089563614,-0.04709162189215567,-0.04709879353430209,-0.047145956854399,-0.04723342715662883,-0.04736149431435539,-0.04753042301243164,-0.047740452937181224,-0.0479917996820035,-0.0482859109115729,-0.048624321164877374
-0.12872479779581542,-0.12650001941278138,-0.12446379265668123,-0.12260049697774261,-0.12088581851364716,-0.11929696453105143,-0.11782516140533494,-0.11646170590278926,-0.11519787663403486,-0.11402490315932068,-0.11293393823293718,-0.1119160330090323,-0.11096211503190789,-0.11006296883578898,-0.1092092189820083,-0.10839131536541058,-0.10759952062634959,-0.106823899509922,-0.10605431001978916,-0.10528039622014346,-0.10449379579293422,-0.1036969912657057,-0.10289186957153662,-0.10207970856812754,-0.1012615562437752,-0.10043823070722996,-0.0996103209896616,-0.09877818856664655,-0.09794196951462014,-0.0971015772225775,-0.09625670558590682,-0.095406832615133,-0.09455122439795371,-0.09368893935831257,-0.09281883276133479,-0.09193956141776144,-0.09104958854603273,-0.09014718875442262,-0.08923045310960492,-0.08830040325179417,-0.08736112092914966,-0.08641494783451548,-0.0854640626330484,-0.08451048615469514,-0.08355608646399992,-0.08260258387010957,-0.08165155586594458,-0.08070444198728835,-0.0797625485841851,-0.07882705349845873,-0.07789901064245217,-0.07697935447518595,-0.07606890437310665,-0.07516836889342432,-0.074278349928742,-0.07339934675226786,-0.07253175995338992,-0.07167589526377258,-0.07083196727444732,-0.07000010304459589,-0.0691803456028777,-0.0683726862862484,-0.06757809600257977,-0.06679820818525387,-0.06603448610102222,-0.06528832491558881,-0.06456105457092634,-0.0638539425617525,-0.06316819661187856,-0.06250496725103416,-0.061865350292675356,-0.061250389213208065,-0.060661077432965935,-0.06009836049924118,-0.05956313817158694,-0.05905626640962296,-0.058578559263527605,-0.05813079066744596,-0.057713696136064765,-0.05732797436466765,-0.056974288733069825,-0.056653268713937346,-0.05636551118612056,-0.05611158165378126,-0.055892015372260864,-0.05570731838181188,-0.05555796845052767,-0.05544441592799722,-0.05536708451144744,-0.05532637192635058,-0.0553226505237165,-0.05535626779650239,-0.055427546817837306,-0.055536786603946606,-0.05568426240491682,-0.05587022592662967,-0.05609490548740366,-0.0563585069574626,-0.05666260008794356,-0.05700885473721197
